date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-05,1,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,1,0,1.0
2020-03-13,0,0,1.0
2020-03-14,0,0,1.0
2020-03-15,1,0,2.1
2020-03-16,0,0,2.1
2020-03-17,3,0,5.3
2020-03-18,0,0,5.3
2020-03-19,2,0,6.4
2020-03-20,3,0,9.6
2020-03-21,1,0,10.6
2020-03-22,1,0,10.6
2020-03-23,4,0,14.8
2020-03-24,0,0,11.6
2020-03-25,3,0,14.8
2020-03-26,1,0,13.7
2020-03-27,6,0,16.9
2020-03-28,5,0,21.2
2020-03-29,5,0,25.4
2020-03-30,3,0,24.4
2020-03-31,8,0,32.9
2020-04-01,5,0,35.0
2020-04-02,10,0,44.5
2020-04-03,4,0,42.4
2020-04-04,13,0,50.9
2020-04-05,13,0,59.3
2020-04-06,18,0,75.2
2020-04-07,17,0,84.7
2020-04-08,5,0,84.7
2020-04-09,7,0,81.6
2020-04-10,13,0,91.1
2020-04-11,14,0,92.1
2020-04-12,20,0,99.6
2020-04-13,13,0,94.3
2020-04-14,16,0,93.2
2020-04-15,14,0,102.8
2020-04-16,9,0,104.9
2020-04-17,13,0,104.9
2020-04-18,16,0,107.0
2020-04-19,8,0,94.3
2020-04-20,17,0,98.5
2020-04-21,18,0,100.7
2020-04-22,20,10,107.0
2020-04-23,17,2,115.5
2020-04-24,15,27,117.6
2020-04-25,10,4,111.3
2020-04-26,9,8,112.3
2020-04-27,4,6,98.6
2020-04-28,7,4,86.9
2020-04-29,15,7,81.6
2020-04-30,25,2,90.0
2020-05-01,9,2,83.7
2020-05-02,6,3,79.4
2020-05-03,9,7,79.5
2020-05-04,9,16,84.7
2020-05-05,2,3,79.4
2020-05-06,6,3,69.9
2020-05-07,5,1,48.8
2020-05-08,2,0,41.3
2020-05-09,2,1,37.1
2020-05-10,4,1,31.8
2020-05-11,6,2,28.6
2020-05-12,8,2,35.0
2020-05-13,5,1,33.9
2020-05-14,5,0,33.9
2020-05-15,1,4,32.8
2020-05-16,4,2,35.0
2020-05-17,4,2,34.9
2020-05-18,7,0,36.0
2020-05-19,8,2,36.0
2020-05-20,4,3,35.0
2020-05-21,7,1,37.1
2020-05-22,8,3,44.5
2020-05-23,2,6,42.4
2020-05-24,3,3,41.3
2020-05-25,3,0,37.1
2020-05-26,2,1,30.7
2020-05-27,3,1,29.6
2020-05-28,3,3,25.4
2020-05-29,0,1,17.0
2020-05-30,2,1,16.9
2020-05-31,2,0,15.9
2020-06-01,3,0,15.9
2020-06-02,2,1,15.9
2020-06-03,3,1,15.9
2020-06-04,2,0,14.8
2020-06-05,2,1,16.9
2020-06-06,0,2,14.8
2020-06-07,0,1,12.7
2020-06-08,1,0,10.6
2020-06-09,0,1,8.5
2020-06-10,0,0,5.3
2020-06-11,1,0,4.3
2020-06-12,0,0,2.2
2020-06-13,1,0,3.2
2020-06-14,0,1,3.2
2020-06-15,2,1,4.2
2020-06-16,0,0,4.2
2020-06-17,0,0,4.2
2020-06-18,1,1,4.2
2020-06-19,0,1,4.2
2020-06-20,0,1,3.2
2020-06-21,0,0,3.2
2020-06-22,0,0,1.1
2020-06-23,0,0,1.1
2020-06-24,0,0,1.1
2020-06-25,0,0,0.0
2020-06-26,2,0,2.1
2020-06-27,1,0,3.2
2020-06-28,0,1,3.2
2020-06-29,0,1,3.2
2020-06-30,0,0,3.2
2020-07-01,0,191,3.2
2020-07-02,0,0,3.2
2020-07-03,0,0,1.1
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,1,0,1.0
2020-07-10,0,0,1.0
2020-07-11,0,0,1.0
2020-07-12,0,0,1.0
2020-07-13,0,1,1.0
2020-07-14,0,0,1.0
2020-07-15,1,0,2.1
2020-07-16,0,0,1.1
2020-07-17,0,0,1.1
2020-07-18,1,2,2.2
2020-07-19,0,0,2.2
2020-07-20,0,1,2.2
2020-07-21,0,0,2.2
2020-07-22,0,0,1.1
2020-07-23,0,0,1.1
2020-07-24,1,0,2.1
2020-07-25,0,0,1.0
