date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-17,1,0,0.0
2020-03-18,2,0,2.0
2020-03-19,1,0,3.0
2020-03-20,0,0,3.0
2020-03-21,0,0,3.0
2020-03-22,0,0,3.0
2020-03-23,0,0,3.0
2020-03-24,0,0,3.0
2020-03-25,2,0,3.0
2020-03-26,4,0,6.0
2020-03-27,1,0,7.0
2020-03-28,5,0,12.0
2020-03-29,2,0,14.0
2020-03-30,4,0,18.0
2020-03-31,4,0,22.0
2020-04-01,3,0,23.0
2020-04-02,0,0,19.0
2020-04-03,7,0,25.0
2020-04-04,0,0,20.0
2020-04-05,0,0,18.0
2020-04-06,7,0,21.0
2020-04-07,5,0,22.0
2020-04-08,4,0,23.0
2020-04-09,6,0,29.0
2020-04-10,0,0,22.0
2020-04-11,3,0,25.0
2020-04-12,3,0,28.0
2020-04-13,2,0,23.0
2020-04-14,5,0,23.0
2020-04-15,0,0,19.0
2020-04-16,7,0,20.0
2020-04-17,3,0,23.0
2020-04-18,0,0,20.0
2020-04-19,5,0,22.0
2020-04-20,2,0,22.0
2020-04-21,1,0,18.0
2020-04-22,2,11,20.0
2020-04-23,4,3,17.0
2020-04-24,6,0,20.0
2020-04-25,3,3,22.9
2020-04-26,5,2,22.9
2020-04-27,2,3,22.9
2020-04-28,8,2,29.9
2020-04-29,5,0,32.9
2020-04-30,4,5,32.9
2020-05-01,8,0,34.9
2020-05-02,5,2,37.0
2020-05-03,5,2,37.0
2020-05-04,1,1,36.0
2020-05-05,3,2,31.0
2020-05-06,2,1,28.0
2020-05-07,2,0,26.0
2020-05-08,3,0,21.0
2020-05-09,1,1,17.0
2020-05-10,1,0,13.0
2020-05-11,2,0,14.0
2020-05-12,5,2,16.0
2020-05-13,4,2,18.0
2020-05-14,2,2,18.0
2020-05-15,9,1,24.0
2020-05-16,2,0,25.0
2020-05-17,1,0,25.0
2020-05-18,3,0,26.0
2020-05-19,3,0,24.0
2020-05-20,3,1,23.0
2020-05-21,0,0,21.0
2020-05-22,3,0,15.0
2020-05-23,3,0,16.0
2020-05-24,2,1,17.0
2020-05-25,6,0,20.0
2020-05-26,1,0,18.0
2020-05-27,1,0,16.0
2020-05-28,0,1,16.0
2020-05-29,8,0,21.0
2020-05-30,0,1,18.0
2020-05-31,4,0,20.0
2020-06-01,1,0,15.0
2020-06-02,1,0,15.0
2020-06-03,1,0,15.0
2020-06-04,1,0,16.0
2020-06-05,2,0,10.0
2020-06-06,0,0,10.0
2020-06-07,1,0,7.0
2020-06-08,1,0,7.0
2020-06-09,1,0,7.0
2020-06-10,1,0,7.0
2020-06-11,0,0,6.0
2020-06-12,1,0,5.0
2020-06-13,1,0,6.0
2020-06-14,0,0,5.0
2020-06-15,2,1,6.0
2020-06-16,0,0,5.0
2020-06-17,1,0,5.0
2020-06-18,0,0,5.0
2020-06-19,0,2,4.0
2020-06-20,1,1,4.0
2020-06-21,5,0,9.0
2020-06-22,2,0,9.0
2020-06-23,0,0,9.0
2020-06-24,2,0,10.0
2020-06-25,0,1,10.0
2020-06-26,0,0,10.0
2020-06-27,0,0,9.0
2020-06-28,1,0,5.0
2020-06-29,2,0,5.0
2020-06-30,2,0,7.0
2020-07-01,0,124,5.0
2020-07-02,0,1,5.0
2020-07-03,0,0,5.0
2020-07-04,0,0,5.0
2020-07-05,2,0,6.0
2020-07-06,1,0,5.0
2020-07-07,0,2,3.0
2020-07-08,1,1,4.0
2020-07-09,1,0,5.0
2020-07-10,0,0,5.0
2020-07-11,0,1,5.0
2020-07-12,0,1,3.0
2020-07-13,0,0,2.0
2020-07-14,0,0,2.0
2020-07-15,2,0,3.0
2020-07-16,1,0,3.0
2020-07-17,1,2,4.0
2020-07-18,1,1,5.0
2020-07-19,2,1,7.0
2020-07-20,1,2,8.0
2020-07-21,0,1,8.0
2020-07-22,0,1,6.0
2020-07-23,0,0,5.0
2020-07-24,0,0,4.0
2020-07-25,0,0,3.0
2020-07-26,0,0,1.0
2020-07-27,2,0,2.0
2020-07-28,0,0,2.0
2020-07-29,3,2,5.0
2020-07-30,2,0,7.0
2020-07-31,0,3,7.0
2020-08-01,1,0,8.0
2020-08-02,0,1,8.0
2020-08-03,4,1,10.0
2020-08-04,3,1,13.0
2020-08-05,4,5,14.0
2020-08-06,2,2,14.0
2020-08-07,4,2,18.0
2020-08-08,1,3,18.0
2020-08-09,0,1,18.0
2020-08-10,3,2,17.0
2020-08-11,0,2,14.0
2020-08-12,4,0,14.0
2020-08-13,4,0,16.0
2020-08-14,1,3,13.0
2020-08-15,0,3,12.0
2020-08-16,0,3,12.0
2020-08-17,5,2,13.9
2020-08-18,1,1,14.9
2020-08-19,3,0,13.9
2020-08-20,0,3,9.9
2020-08-21,0,2,8.9
2020-08-22,0,3,8.9
2020-08-23,0,1,8.9
2020-08-24,0,0,4.0
2020-08-25,1,0,4.0
2020-08-26,0,0,1.0
2020-08-27,3,0,4.0
2020-08-28,3,0,7.0
2020-08-29,1,2,8.0
2020-08-30,1,4,9.0
2020-08-31,5,1,14.0
2020-09-01,4,1,17.0
2020-09-02,18,6,35.0
2020-09-03,8,2,40.0
2020-09-04,7,7,44.0
2020-09-05,4,5,47.0
2020-09-06,2,10,48.0
2020-09-07,7,8,50.0
2020-09-08,3,0,49.0
2020-09-09,4,2,35.0
2020-09-10,6,4,33.0
2020-09-11,3,3,29.0
2020-09-12,1,5,26.0
2020-09-13,3,4,27.0
2020-09-14,4,3,24.0
2020-09-15,0,5,21.0
2020-09-16,14,6,31.0
2020-09-17,5,0,30.0
2020-09-18,2,6,29.0
2020-09-19,3,11,31.0
2020-09-20,7,2,35.0
2020-09-21,5,4,36.0
2020-09-22,5,3,41.0
2020-09-23,7,7,34.0
2020-09-24,9,7,38.0
2020-09-25,20,4,56.0
2020-09-26,2,8,55.0
2020-09-27,9,19,57.0
2020-09-28,9,9,61.0
2020-09-29,6,1,62.0
2020-09-30,10,9,64.9
2020-10-01,10,6,65.9
2020-10-02,17,7,62.9
2020-10-03,13,10,73.9
2020-10-04,15,33,79.9
2020-10-05,13,9,83.9
2020-10-06,8,16,85.9
2020-10-07,26,11,102.0
2020-10-08,24,24,116.0
2020-10-09,17,7,116.0
2020-10-10,7,13,110.0
2020-10-11,30,10,125.0
2020-10-12,21,23,133.0
2020-10-13,35,19,159.9
2020-10-14,36,26,169.9
2020-10-15,39,30,184.9
2020-10-16,21,8,188.9
2020-10-17,24,20,205.9
2020-10-18,16,39,191.9
2020-10-19,62,22,232.8
2020-10-20,51,29,248.9
2020-10-21,38,40,250.9
2020-10-22,90,22,301.8
2020-10-23,58,18,338.8
2020-10-24,59,51,373.8
2020-10-25,43,33,400.8
2020-10-26,79,59,417.8
2020-10-27,37,30,403.8
2020-10-28,41,58,406.8
2020-10-29,47,33,363.9
2020-10-30,48,31,353.8
2020-10-31,27,43,321.8
2020-11-01,12,45,290.8
2020-11-02,75,20,286.9
2020-11-03,53,17,302.9
2020-11-04,44,38,305.8
2020-11-05,58,50,316.8
2020-11-06,59,35,327.9
2020-11-07,38,35,338.9
2020-11-08,60,67,386.8
2020-11-09,89,40,400.8
2020-11-10,65,76,412.8
2020-11-11,77,23,445.8
2020-11-12,56,112,443.8
2020-11-13,72,60,456.8
2020-11-14,44,49,462.7
2020-11-15,43,43,445.8
2020-11-16,68,364,424.8
2020-11-17,58,45,417.8
2020-11-18,50,39,390.8
2020-11-19,38,46,372.8
2020-11-20,42,46,342.8
2020-11-21,32,80,330.9
2020-11-22,40,35,327.9
2020-11-23,71,42,330.8
2020-11-24,83,13,355.8
2020-11-25,34,97,339.9
2020-11-26,53,50,354.8
2020-11-27,61,56,373.8
2020-11-28,48,49,389.8
2020-11-29,26,63,375.8
2020-11-30,53,33,357.8
2020-12-01,56,48,330.8
2020-12-02,78,41,374.8
2020-12-03,60,47,381.9
2020-12-04,59,77,379.8
2020-12-05,61,52,392.8
2020-12-06,35,92,401.8
2020-12-07,157,52,505.8
2020-12-08,56,37,505.8
2020-12-09,57,72,484.7
2020-12-10,48,134,472.7
2020-12-11,61,55,474.8
2020-12-12,45,33,458.8
2020-12-13,45,54,468.7
2020-12-14,97,49,408.8
2020-12-15,72,67,424.8
2020-12-16,54,38,421.8
2020-12-17,49,58,422.8
2020-12-18,47,57,408.8
2020-12-19,28,40,391.8
2020-12-20,76,84,422.8
2020-12-21,69,25,394.8
2020-12-22,55,29,377.8
2020-12-23,68,93,391.8
2020-12-24,30,69,372.8
2020-12-25,25,49,350.8
2020-12-26,41,42,363.8
2020-12-27,52,47,339.9
2020-12-28,38,63,308.9
2020-12-29,93,61,346.8
2020-12-30,52,22,330.9
2020-12-31,50,35,350.9
2021-01-01,27,65,352.8
2021-01-02,56,78,367.8
2021-01-03,53,40,368.8
2021-01-04,76,47,406.8
2021-01-05,45,46,358.8
2021-01-06,48,78,354.8
2021-01-07,42,65,346.8
2021-01-08,61,50,380.9
2021-01-09,30,40,354.8
2021-01-10,31,64,332.8
2021-01-11,74,32,330.8
2021-01-12,52,34,337.9
2021-01-13,31,62,320.9
2021-01-14,48,49,326.8
2021-01-15,57,37,322.8
2021-01-16,41,30,333.9
2021-01-17,25,37,327.9
2021-01-18,55,55,308.8
2021-01-19,50,40,306.8
2021-01-20,37,49,312.8
2021-01-21,49,64,313.9
2021-01-22,38,41,294.9
2021-01-23,23,35,276.8
2021-01-24,28,30,279.8
2021-01-25,43,29,267.9
2021-01-26,26,31,243.9
2021-01-27,30,40,236.9
2021-01-28,42,30,229.9
2021-01-29,14,36,205.9
2021-01-30,11,28,194.0
2021-01-31,12,18,177.9
2021-02-01,18,8,152.9
2021-02-02,11,15,137.9
2021-02-03,10,16,117.9
2021-02-04,13,13,88.9
2021-02-05,17,12,91.9
2021-02-06,21,9,101.9
2021-02-07,12,18,102.0
2021-02-08,20,18,104.0
2021-02-09,11,14,104.0
2021-02-10,16,17,110.0
2021-02-11,27,12,124.0
2021-02-12,22,20,128.9
2021-02-13,13,27,120.9
2021-02-14,12,15,120.9
2021-02-15,19,13,119.9
2021-02-16,16,12,124.9
2021-02-17,17,18,125.9
2021-02-18,20,23,118.9
2021-02-19,13,7,110.0
2021-02-20,13,15,110.0
2021-02-21,14,15,112.0
2021-02-22,22,19,115.0
2021-02-23,32,16,131.0
2021-02-24,17,14,130.9
2021-02-25,13,28,123.9
2021-02-26,8,16,118.9
2021-02-27,10,15,115.9
2021-02-28,8,8,109.9
2021-03-01,4,10,91.9
2021-03-02,6,6,65.9
2021-03-03,22,5,71.0
2021-03-04,13,10,71.0
2021-03-05,13,18,76.0
2021-03-06,7,14,73.0
2021-03-07,15,11,80.0
2021-03-08,12,9,88.0
2021-03-09,10,17,92.0
2021-03-10,5,16,75.0
2021-03-11,17,8,79.0
2021-03-12,14,7,80.0
2021-03-13,9,13,82.0
2021-03-14,4,8,71.0
