date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-02,1,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,1,0,1.0
2020-03-06,0,0,1.0
2020-03-07,0,0,1.0
2020-03-08,0,0,1.0
2020-03-09,0,0,1.0
2020-03-10,0,0,1.0
2020-03-11,0,0,1.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,2,0,1.9
2020-03-16,4,0,5.7
2020-03-17,1,0,6.6
2020-03-18,1,0,7.6
2020-03-19,3,0,10.4
2020-03-20,1,0,11.4
2020-03-21,1,0,12.3
2020-03-22,1,0,11.3
2020-03-23,6,0,13.2
2020-03-24,2,0,14.2
2020-03-25,10,0,22.7
2020-03-26,7,0,26.5
2020-03-27,2,0,27.4
2020-03-28,4,0,30.3
2020-03-29,9,0,37.9
2020-03-30,9,0,40.7
2020-03-31,9,0,47.4
2020-04-01,9,0,46.4
2020-04-02,10,0,49.2
2020-04-03,10,0,56.8
2020-04-04,6,0,58.7
2020-04-05,3,0,53.0
2020-04-06,7,0,51.1
2020-04-07,7,0,49.2
2020-04-08,8,0,48.2
2020-04-09,4,0,42.6
2020-04-10,5,0,37.9
2020-04-11,4,0,36.0
2020-04-12,8,0,40.7
2020-04-13,7,0,40.8
2020-04-14,8,0,41.6
2020-04-15,8,0,41.7
2020-04-16,7,0,44.5
2020-04-17,5,0,44.5
2020-04-18,9,0,49.2
2020-04-19,5,0,46.4
2020-04-20,10,0,49.2
2020-04-21,4,0,45.5
2020-04-22,7,6,44.5
2020-04-23,7,7,44.5
2020-04-24,3,5,42.6
2020-04-25,2,5,36.0
2020-04-26,2,2,33.1
2020-04-27,7,1,30.3
2020-04-28,0,0,26.5
2020-04-29,2,1,21.8
2020-04-30,10,2,24.6
2020-05-01,3,5,24.6
2020-05-02,4,1,26.5
2020-05-03,2,5,26.6
2020-05-04,3,2,22.7
2020-05-05,6,4,28.4
2020-05-06,2,1,28.4
2020-05-07,3,3,21.8
2020-05-08,5,3,23.6
2020-05-09,0,1,19.8
2020-05-10,5,2,22.7
2020-05-11,9,5,28.4
2020-05-12,4,1,26.5
2020-05-13,12,1,35.9
2020-05-14,1,1,34.1
2020-05-15,3,6,32.2
2020-05-16,3,4,35.1
2020-05-17,0,2,30.3
2020-05-18,3,2,24.6
2020-05-19,5,2,25.5
2020-05-20,4,1,18.0
2020-05-21,6,0,22.7
2020-05-22,3,2,22.7
2020-05-23,3,2,22.7
2020-05-24,0,2,22.7
2020-05-25,3,0,22.7
2020-05-26,1,1,19.0
2020-05-27,0,1,15.2
2020-05-28,2,2,11.4
2020-05-29,1,0,9.5
2020-05-30,0,0,6.6
2020-05-31,1,0,7.6
2020-06-01,1,0,5.7
2020-06-02,1,0,5.6
2020-06-03,2,0,7.5
