date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,2,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,3,0,3.0
2020-03-13,0,0,3.0
2020-03-14,0,0,3.0
2020-03-15,0,0,3.0
2020-03-16,1,0,4.0
2020-03-17,1,0,5.0
2020-03-18,3,0,8.0
2020-03-19,2,0,7.0
2020-03-20,3,0,10.0
2020-03-21,2,0,12.0
2020-03-22,2,0,14.0
2020-03-23,4,0,17.0
2020-03-24,2,0,18.0
2020-03-25,2,0,17.0
2020-03-26,7,0,22.0
2020-03-27,3,0,22.0
2020-03-28,7,0,27.0
2020-03-29,2,0,27.0
2020-03-30,7,0,30.0
2020-03-31,1,0,29.0
2020-04-01,5,0,32.0
2020-04-02,2,0,27.0
2020-04-03,2,0,26.0
2020-04-04,1,0,20.0
2020-04-05,2,0,20.0
2020-04-06,4,0,17.0
2020-04-07,8,0,24.0
2020-04-08,3,0,22.0
2020-04-09,2,0,22.0
2020-04-10,6,0,26.0
2020-04-11,4,0,29.0
2020-04-12,5,0,32.0
2020-04-13,5,0,33.0
2020-04-14,8,0,33.0
2020-04-15,12,0,42.0
2020-04-16,6,0,46.0
2020-04-17,13,0,53.0
2020-04-18,10,0,59.0
2020-04-19,7,0,61.0
2020-04-20,3,0,59.0
2020-04-21,8,0,59.0
2020-04-22,14,4,61.0
2020-04-23,4,0,59.0
2020-04-24,8,5,54.0
2020-04-25,4,4,48.0
2020-04-26,3,2,44.0
2020-04-27,4,4,45.0
2020-04-28,5,0,42.0
2020-04-29,7,2,35.0
2020-04-30,10,1,41.0
2020-05-01,8,4,41.0
2020-05-02,4,2,41.0
2020-05-03,5,3,43.0
2020-05-04,8,5,47.0
2020-05-05,4,2,46.0
2020-05-06,5,3,44.0
2020-05-07,5,1,39.0
2020-05-08,2,1,33.0
2020-05-09,2,3,31.0
2020-05-10,2,1,28.0
2020-05-11,5,0,25.0
2020-05-12,4,0,25.0
2020-05-13,1,2,21.0
2020-05-14,6,3,22.0
2020-05-15,1,1,21.0
2020-05-16,0,1,19.0
2020-05-17,1,0,18.0
2020-05-18,1,0,14.0
2020-05-19,0,0,10.0
2020-05-20,2,0,11.0
2020-05-21,4,0,9.0
2020-05-22,1,1,9.0
2020-05-23,5,0,14.0
2020-05-24,0,1,13.0
2020-05-25,1,0,13.0
2020-05-26,0,3,13.0
2020-05-27,0,0,11.0
2020-05-28,1,0,8.0
2020-05-29,0,0,7.0
2020-05-30,1,0,3.0
2020-05-31,3,0,6.0
2020-06-01,0,0,5.0
2020-06-02,1,0,6.0
2020-06-03,0,0,6.0
2020-06-04,0,0,5.0
2020-06-05,0,0,5.0
2020-06-06,0,0,4.0
2020-06-07,0,0,1.0
2020-06-08,3,0,4.0
2020-06-09,1,0,4.0
2020-06-10,0,0,4.0
2020-06-11,0,0,4.0
2020-06-12,0,0,4.0
2020-06-13,0,0,4.0
2020-06-14,1,0,5.0
2020-06-15,0,0,2.0
2020-06-16,1,0,2.0
2020-06-17,2,1,4.0
2020-06-18,2,0,6.0
2020-06-19,2,0,8.0
2020-06-20,0,2,8.0
2020-06-21,0,1,7.0
2020-06-22,1,2,8.0
2020-06-23,0,0,7.0
2020-06-24,1,1,6.0
2020-06-25,1,0,5.0
2020-06-26,1,0,4.0
2020-06-27,4,0,8.0
2020-06-28,0,0,8.0
2020-06-29,3,0,10.0
2020-06-30,0,0,10.0
2020-07-01,2,137,11.0
2020-07-02,0,1,10.0
2020-07-03,3,1,12.0
2020-07-04,1,2,9.0
2020-07-05,4,3,13.0
2020-07-06,1,1,11.0
2020-07-07,1,4,12.0
2020-07-08,2,1,12.0
2020-07-09,1,2,13.0
2020-07-10,2,0,12.0
2020-07-11,0,2,11.0
2020-07-12,0,1,7.0
2020-07-13,2,1,8.0
2020-07-14,0,2,7.0
2020-07-15,2,0,7.0
2020-07-16,0,0,6.0
2020-07-17,1,0,5.0
2020-07-18,1,0,6.0
2020-07-19,0,0,6.0
2020-07-20,0,2,4.0
2020-07-21,2,1,6.0
2020-07-22,0,0,4.0
2020-07-23,0,0,4.0
2020-07-24,0,1,3.0
2020-07-25,1,1,3.0
2020-07-26,0,0,3.0
2020-07-27,0,0,3.0
2020-07-28,0,0,1.0
2020-07-29,0,1,1.0
2020-07-30,4,0,5.0
2020-07-31,0,0,5.0
2020-08-01,0,3,4.0
2020-08-02,2,0,6.0
2020-08-03,4,1,10.0
2020-08-04,1,3,11.0
2020-08-05,1,4,12.0
2020-08-06,0,1,8.0
2020-08-07,0,0,8.0
2020-08-08,0,0,8.0
2020-08-09,3,0,9.0
2020-08-10,6,1,11.0
2020-08-11,6,3,16.0
2020-08-12,4,4,19.0
2020-08-13,1,0,20.0
2020-08-14,2,11,22.0
2020-08-15,1,1,23.0
2020-08-16,0,2,20.0
2020-08-17,5,1,19.0
2020-08-18,2,1,15.0
2020-08-19,0,1,11.0
2020-08-20,0,4,10.0
2020-08-21,3,1,11.0
2020-08-22,0,1,10.0
2020-08-23,0,1,10.0
2020-08-24,1,1,6.0
2020-08-25,1,1,5.0
2020-08-26,1,0,6.0
2020-08-27,0,0,6.0
2020-08-28,1,1,4.0
2020-08-29,0,1,4.0
2020-08-30,2,0,6.0
2020-08-31,1,1,6.0
2020-09-01,4,3,9.0
2020-09-02,2,1,10.0
2020-09-03,3,0,13.0
2020-09-04,1,1,13.0
2020-09-05,9,5,22.0
2020-09-06,0,1,20.0
2020-09-07,3,9,22.0
2020-09-08,5,1,23.0
2020-09-09,1,1,22.0
2020-09-10,4,5,23.0
2020-09-11,1,2,23.0
2020-09-12,0,3,14.0
2020-09-13,2,1,16.0
2020-09-14,4,0,17.0
2020-09-15,1,2,13.0
2020-09-16,1,1,13.0
2020-09-17,1,2,10.0
2020-09-18,1,7,10.0
2020-09-19,2,1,12.0
2020-09-20,7,0,17.0
2020-09-21,4,1,17.0
2020-09-22,4,2,20.0
2020-09-23,6,4,25.0
2020-09-24,6,9,30.0
2020-09-25,7,9,36.0
2020-09-26,1,5,35.0
2020-09-27,4,5,32.0
2020-09-28,1,3,29.0
2020-09-29,5,3,30.0
2020-09-30,11,2,35.0
2020-10-01,13,4,42.0
2020-10-02,12,7,47.0
2020-10-03,7,9,53.0
2020-10-04,6,19,55.0
2020-10-05,12,13,66.0
2020-10-06,8,12,69.0
2020-10-07,9,12,67.0
2020-10-08,10,19,64.0
2020-10-09,6,10,58.0
2020-10-10,5,10,56.0
2020-10-11,3,4,53.0
2020-10-12,15,10,56.0
2020-10-13,11,13,58.9
2020-10-14,17,7,66.9
2020-10-15,14,25,70.9
2020-10-16,11,3,75.9
2020-10-17,13,19,83.9
2020-10-18,12,7,92.9
2020-10-19,20,13,97.9
2020-10-20,12,19,99.0
2020-10-21,18,25,100.0
2020-10-22,12,12,98.0
2020-10-23,19,17,106.0
2020-10-24,15,15,108.0
2020-10-25,16,11,112.0
2020-10-26,19,22,111.0
2020-10-27,18,15,117.0
2020-10-28,25,29,124.0
2020-10-29,32,15,144.0
2020-10-30,16,11,141.0
2020-10-31,10,26,136.0
2020-11-01,13,28,133.0
2020-11-02,31,10,145.0
2020-11-03,29,26,156.0
2020-11-04,26,24,157.0
2020-11-05,11,27,136.0
2020-11-06,27,23,147.0
2020-11-07,23,25,160.0
2020-11-08,14,22,161.0
2020-11-09,38,24,168.0
2020-11-10,19,13,158.0
2020-11-11,23,24,155.0
2020-11-12,26,35,170.0
2020-11-13,19,24,162.0
2020-11-14,24,31,163.0
2020-11-15,18,19,167.0
2020-11-16,16,0,145.0
2020-11-17,22,22,148.0
2020-11-18,33,12,158.0
2020-11-19,18,17,150.0
2020-11-20,14,10,145.0
2020-11-21,32,35,153.0
2020-11-22,13,18,148.0
2020-11-23,44,35,176.0
2020-11-24,30,12,184.0
2020-11-25,25,43,176.0
2020-11-26,31,25,189.0
2020-11-27,25,28,200.0
2020-11-28,27,41,195.0
2020-11-29,19,20,201.0
2020-11-30,31,19,188.0
2020-12-01,49,27,207.0
2020-12-02,41,31,223.0
2020-12-03,27,44,219.0
2020-12-04,32,45,226.0
2020-12-05,27,32,226.0
2020-12-06,35,35,242.0
2020-12-07,38,23,248.9
2020-12-08,46,37,245.9
2020-12-09,42,25,246.9
2020-12-10,47,44,266.9
2020-12-11,48,64,282.9
2020-12-12,36,31,291.9
2020-12-13,46,54,302.9
2020-12-14,70,24,335.0
2020-12-15,64,41,353.0
2020-12-16,82,36,393.0
2020-12-17,93,50,439.0
2020-12-18,86,84,477.0
2020-12-19,57,98,498.0
2020-12-20,77,110,529.0
2020-12-21,103,49,562.0
2020-12-22,104,56,602.0
2020-12-23,75,48,595.0
2020-12-24,85,108,587.0
2020-12-25,21,63,522.0
2020-12-26,87,90,551.9
2020-12-27,132,63,606.9
2020-12-28,93,54,596.9
2020-12-29,160,92,652.9
2020-12-30,113,137,690.9
2020-12-31,91,122,696.9
2021-01-01,75,129,750.9
2021-01-02,103,148,767.0
2021-01-03,113,77,748.0
2021-01-04,125,134,780.0
2021-01-05,101,124,721.0
2021-01-06,124,60,731.9
2021-01-07,101,84,741.9
2021-01-08,82,121,748.9
2021-01-09,91,135,736.9
2021-01-10,85,125,708.9
2021-01-11,129,110,712.9
2021-01-12,87,77,698.9
2021-01-13,93,124,668.0
2021-01-14,95,92,662.0
2021-01-15,79,95,659.0
2021-01-16,55,69,623.0
2021-01-17,62,107,600.0
2021-01-18,100,62,571.0
2021-01-19,71,73,555.0
2021-01-20,63,90,525.0
2021-01-21,48,71,477.9
2021-01-22,58,83,456.9
2021-01-23,36,54,437.9
2021-01-24,18,40,393.9
2021-01-25,45,52,338.9
2021-01-26,38,14,305.9
2021-01-27,47,36,289.9
2021-01-28,31,46,273.0
2021-01-29,37,53,252.0
2021-01-30,32,31,248.0
2021-01-31,20,28,250.0
2021-02-01,35,31,240.0
2021-02-02,39,26,241.0
2021-02-03,49,35,243.0
2021-02-04,44,33,256.0
2021-02-05,21,42,240.0
2021-02-06,14,52,222.0
2021-02-07,16,38,218.0
2021-02-08,35,10,218.0
2021-02-09,22,21,201.0
2021-02-10,17,24,169.0
2021-02-11,16,26,141.0
2021-02-12,20,21,140.0
2021-02-13,15,19,141.0
2021-02-14,14,8,139.0
2021-02-15,16,21,120.0
2021-02-16,22,11,120.0
2021-02-17,19,15,122.0
2021-02-18,36,24,142.0
2021-02-19,24,19,146.0
2021-02-20,12,19,143.0
2021-02-21,16,31,145.0
2021-02-22,16,26,145.0
2021-02-23,14,18,137.0
2021-02-24,13,17,131.0
2021-02-25,8,16,103.0
2021-02-26,5,8,84.0
2021-02-27,6,7,78.0
2021-02-28,7,4,69.0
2021-03-01,7,6,60.0
2021-03-02,8,10,54.0
2021-03-03,5,8,46.0
2021-03-04,7,6,45.0
2021-03-05,12,8,52.0
2021-03-06,3,8,49.0
2021-03-07,7,10,49.0
2021-03-08,4,7,46.0
2021-03-09,11,4,49.0
2021-03-10,9,2,53.0
2021-03-11,7,14,53.0
2021-03-12,9,9,50.0
2021-03-13,3,7,50.0
2021-03-14,3,7,46.0
2021-03-15,7,2,49.0
2021-03-16,6,5,44.0
2021-03-17,6,5,41.0
2021-03-18,7,10,41.0
2021-03-19,6,3,38.0
2021-03-20,8,7,43.0
2021-03-21,7,8,47.0
2021-03-22,3,10,43.0
2021-03-23,3,5,40.0
2021-03-24,5,6,39.0
2021-03-25,6,1,38.0
2021-03-26,8,6,40.0
2021-03-27,2,4,34.0
2021-03-28,8,9,35.0
2021-03-29,5,0,37.0
2021-03-30,10,9,44.0
2021-03-31,5,5,44.0
2021-04-01,6,7,44.0
2021-04-02,2,12,38.0
2021-04-03,6,5,42.0
2021-04-04,4,4,38.0
2021-04-05,1,7,34.0
2021-04-06,3,1,27.0
2021-04-07,5,3,27.0
2021-04-08,5,2,26.0
2021-04-09,4,0,28.0
2021-04-10,5,2,27.0
2021-04-11,6,6,29.0
2021-04-12,5,7,33.0
2021-04-13,3,4,33.0
2021-04-14,2,5,30.0
2021-04-15,2,6,27.0
2021-04-16,6,1,29.0
2021-04-17,3,4,27.0
2021-04-18,3,3,24.0
2021-04-19,6,8,25.0
2021-04-20,3,7,25.0
2021-04-21,0,2,23.0
2021-04-22,5,1,26.0
2021-04-23,0,3,20.0
2021-04-24,2,2,19.0
2021-04-25,1,1,17.0
2021-04-26,4,0,15.0
2021-04-27,1,4,13.0
2021-04-28,1,2,14.0
2021-04-29,2,3,11.0
2021-04-30,1,4,12.0
2021-05-01,0,1,10.0
2021-05-02,1,1,10.0
2021-05-03,3,0,9.0
2021-05-04,1,2,9.0
2021-05-05,1,1,9.0
2021-05-06,4,5,10.9
2021-05-07,0,2,9.9
2021-05-08,1,4,10.9
2021-05-09,0,2,9.9
2021-05-10,1,1,7.9
2021-05-11,1,1,7.9
2021-05-12,5,0,11.9
2021-05-13,1,5,9.0
2021-05-14,0,4,9.0
2021-05-15,6,0,14.0
2021-05-16,2,2,16.0
2021-05-17,2,1,17.0
2021-05-18,1,0,17.0
2021-05-19,0,3,12.0
2021-05-20,0,1,11.0
2021-05-21,8,0,19.0
2021-05-22,2,0,15.0
2021-05-23,2,6,15.0
2021-05-24,5,4,18.0
2021-05-25,4,2,21.0
2021-05-26,5,6,26.0
2021-05-27,1,0,27.0
2021-05-28,2,5,21.0
2021-05-29,7,5,26.0
2021-05-30,1,0,25.0
2021-05-31,10,6,30.0
2021-06-01,5,7,31.0
2021-06-02,11,5,37.0
2021-06-03,11,11,47.0
2021-06-04,13,10,58.0
2021-06-05,11,8,62.0
2021-06-06,12,13,73.0
2021-06-07,10,12,73.0
2021-06-08,12,12,80.0
2021-06-09,13,11,82.0
2021-06-10,12,10,83.0
2021-06-11,9,15,79.0
2021-06-12,9,7,77.0
2021-06-13,10,13,75.0
2021-06-14,14,8,79.0
2021-06-15,10,9,77.0
2021-06-16,4,17,68.0
2021-06-17,9,4,65.0
2021-06-18,12,3,68.0
2021-06-19,6,11,65.0
2021-06-20,5,14,60.0
2021-06-21,8,6,54.0
2021-06-22,12,2,56.0
2021-06-23,9,14,61.0
2021-06-24,13,12,65.0
2021-06-25,12,0,65.0
2021-06-26,17,22,76.0
2021-06-27,15,10,86.0
2021-06-28,16,14,94.0
2021-06-29,20,13,102.0
2021-06-30,25,16,118.0
2021-07-01,20,21,125.0
2021-07-02,21,27,134.0
2021-07-03,23,17,140.0
2021-07-04,23,18,148.0
2021-07-05,33,24,165.0
2021-07-06,34,26,179.0
2021-07-07,39,32,193.0
2021-07-08,27,29,200.0
2021-07-09,32,29,211.0
2021-07-10,35,26,223.0
2021-07-11,28,36,228.0
2021-07-12,52,48,247.0
2021-07-13,50,41,263.0
2021-07-14,63,47,287.0
2021-07-15,93,58,353.0
2021-07-16,78,60,399.0
2021-07-17,42,81,406.0
2021-07-18,46,64,424.0
2021-07-19,64,57,436.0
2021-07-20,47,48,432.9
2021-07-21,50,50,419.9
2021-07-22,37,54,363.9
2021-07-23,24,54,309.9
2021-07-24,24,37,291.9
2021-07-25,15,22,260.9
2021-07-26,19,26,215.9
2021-07-27,31,15,200.0
2021-07-28,40,19,190.0
2021-07-29,36,37,189.0
2021-07-30,33,40,198.0
2021-07-31,21,37,195.0
2021-08-01,37,26,217.0
2021-08-02,38,28,236.0
2021-08-03,24,46,229.0
2021-08-04,45,22,234.0
2021-08-05,36,28,234.0
2021-08-06,50,46,251.0
2021-08-07,32,31,262.0
2021-08-08,43,43,268.0
2021-08-09,46,47,276.0
2021-08-10,52,43,304.0
2021-08-11,37,46,296.0
2021-08-12,56,44,316.0
2021-08-13,50,45,316.0
