date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,1,0,1.0
2020-03-11,0,0,1.0
2020-03-12,0,0,1.0
2020-03-13,1,0,2.0
2020-03-14,1,0,2.9
2020-03-15,0,0,2.9
2020-03-16,0,0,2.9
2020-03-17,0,0,1.9
2020-03-18,0,0,1.9
2020-03-19,2,0,3.9
2020-03-20,1,0,3.9
2020-03-21,1,0,4.0
2020-03-22,2,0,6.0
2020-03-23,4,0,9.9
2020-03-24,2,0,11.9
2020-03-25,2,0,13.8
2020-03-26,5,0,16.8
2020-03-27,8,0,23.6
2020-03-28,2,0,24.6
2020-03-29,4,0,26.6
2020-03-30,5,0,27.6
2020-03-31,6,0,31.5
2020-04-01,7,0,36.5
2020-04-02,11,0,42.3
2020-04-03,4,0,38.5
2020-04-04,8,0,44.4
2020-04-05,4,0,44.3
2020-04-06,4,0,43.3
2020-04-07,8,0,45.3
2020-04-08,3,0,41.4
2020-04-09,4,0,34.5
2020-04-10,4,0,34.5
2020-04-11,7,0,33.5
2020-04-12,3,0,32.5
2020-04-13,2,0,30.6
2020-04-14,3,0,25.6
2020-04-15,3,0,25.6
2020-04-16,14,0,35.5
2020-04-17,4,0,35.4
2020-04-18,9,0,37.4
2020-04-19,6,0,40.4
2020-04-20,5,0,43.3
2020-04-21,11,0,51.3
2020-04-22,8,4,56.2
2020-04-23,5,6,47.3
2020-04-24,5,6,48.3
2020-04-25,3,4,42.4
2020-04-26,3,2,39.4
2020-04-27,5,5,39.5
2020-04-28,4,3,32.5
2020-04-29,3,2,27.6
2020-04-30,5,2,27.6
2020-05-01,4,2,26.6
2020-05-02,1,3,24.6
2020-05-03,4,1,25.7
2020-05-04,3,2,23.6
2020-05-05,4,1,23.7
2020-05-06,1,0,21.6
2020-05-07,2,5,18.7
2020-05-08,5,1,19.7
2020-05-09,1,1,19.7
2020-05-10,1,0,16.7
2020-05-11,2,1,15.8
2020-05-12,1,2,12.8
2020-05-13,2,1,13.8
2020-05-14,2,0,13.8
2020-05-15,2,0,10.9
2020-05-16,1,0,10.9
2020-05-17,1,0,10.8
2020-05-18,5,2,13.8
2020-05-19,1,1,13.8
2020-05-20,2,1,13.8
2020-05-21,3,1,14.8
2020-05-22,0,1,12.8
2020-05-23,1,1,12.8
2020-05-24,0,1,11.9
2020-05-25,2,0,8.8
2020-05-26,4,1,11.8
2020-05-27,1,0,10.9
2020-05-28,1,0,8.9
2020-05-29,3,2,11.8
2020-05-30,1,0,11.8
2020-05-31,0,0,11.8
