date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-05,1,0,0
2020-02-06,0,1,0
2020-02-07,0,0,0
2020-02-08,4,0,0
2020-02-09,1,1,0
2020-02-10,0,4,0
2020-02-11,1,0,0
2020-02-12,0,0,0
2020-02-13,0,1,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,1,0,0
2020-02-22,2,0,0
2020-02-23,1,0,0
2020-02-24,2,4,0
2020-02-25,5,0,0
2020-02-26,4,0,0
2020-02-27,8,0,0
2020-02-28,12,6,0.1
2020-02-29,5,4,0.1
2020-03-01,22,12,0.1
2020-03-02,40,5,0.2
2020-03-03,56,11,0.3
2020-03-04,56,34,0.3
2020-03-05,51,29,0.4
2020-03-06,81,46,0.4
2020-03-07,68,46,0.5
2020-03-08,57,65,0.6
2020-03-09,146,50,0.7
2020-03-10,265,52,1.0
2020-03-11,405,83,1.6
2020-03-12,481,134,2.3
2020-03-13,481,207,2.9
2020-03-14,363,264,3.3
2020-03-15,444,330,3.9
2020-03-16,613,152,4.6
2020-03-17,769,407,5.4
2020-03-18,1000,676,6.3
2020-03-19,1052,643,7.0
2020-03-20,1256,714,8.2
2020-03-21,1198,1035,9.5
2020-03-22,1378,665,10.9
2020-03-23,2327,967,13.5
2020-03-24,2372,1427,15.8
2020-03-25,2697,1452,18.3
2020-03-26,3091,2129,21.5
2020-03-27,3187,2890,24.3
2020-03-28,2821,2556,26.8
2020-03-29,2860,2502,28.9
2020-03-30,4270,2665,31.8
2020-03-31,4512,3250,35.1
2020-04-01,4913,4567,38.4
2020-04-02,4864,4522,41.0
2020-04-03,4920,4672,43.7
2020-04-04,4001,4000,45.4
2020-04-05,3586,6199,46.6
2020-04-06,5284,4143,48.1
2020-04-07,5450,3888,49.4
2020-04-08,5121,5865,49.8
2020-04-09,4855,4675,49.8
2020-04-10,4312,5706,48.8
2020-04-11,3570,5234,48.2
2020-04-12,3485,5288,48
2020-04-13,4175,4342,46.3
